### Training FastDVDnet denoiser model ###
> Parameters:
	batch_size: 64
	epochs: 80
	resume_training: False
	milestone: [50, 60]
	lr: 0.001
	no_orthog: False
	save_every: 10
	save_every_epochs: 5
	patch_size: 96
	temp_patch_size: 5
	max_number_patches: 384000
	log_dir: logs/thermal_constant_nm
	train_noisy_dir: /mnt/data/users/smalayath/fastdvdnetFORK/thermal_data/noisy
	train_clean_dir: /mnt/data/users/smalayath/fastdvdnetFORK/thermal_data/clean
	val_noisy_dir: /mnt/data/users/smalayath/fastdvdnetFORK/thermal_val/thermal_val_noisy
	val_clean_dir: /mnt/data/users/smalayath/fastdvdnetFORK/thermal_val/thermal_val_clean


> Loading datasets ...
Preloading sequences:   0%|          | 0/10 [00:00<?, ?it/s][Preload] LOADED: seq_0  frames=207 dtype=uint16
Preloading sequences:  10%|#         | 1/10 [00:04<00:40,  4.49s/it][Preload] LOADED: seq_1  frames=427 dtype=uint16
Preloading sequences:  20%|##        | 2/10 [00:13<00:57,  7.13s/it][Preload] LOADED: seq_10  frames=101 dtype=uint16
Preloading sequences:  30%|###       | 3/10 [00:15<00:34,  4.94s/it][Preload] LOADED: seq_11  frames=139 dtype=uint16
Preloading sequences:  40%|####      | 4/10 [00:18<00:25,  4.19s/it][Preload] LOADED: seq_12  frames=83 dtype=uint16
Preloading sequences:  50%|#####     | 5/10 [00:20<00:16,  3.34s/it][Preload] LOADED: seq_3  frames=376 dtype=uint16
Preloading sequences:  60%|######    | 6/10 [00:28<00:19,  4.99s/it][Preload] LOADED: seq_4  frames=280 dtype=uint16
Preloading sequences:  70%|#######   | 7/10 [00:34<00:15,  5.22s/it][Preload] LOADED: seq_6  frames=251 dtype=uint16
Preloading sequences:  80%|########  | 8/10 [00:39<00:10,  5.28s/it][Preload] LOADED: seq_7  frames=178 dtype=uint16
Preloading sequences:  90%|######### | 9/10 [00:43<00:04,  4.76s/it][Preload] LOADED: seq_8  frames=127 dtype=uint16
Preloading sequences: 100%|##########| 10/10 [00:46<00:00,  4.12s/it]Preloading sequences: 100%|##########| 10/10 [00:46<00:00,  4.63s/it]
[Preload] Summary: loaded=10, skipped_no_files=0, skipped_no_common=0, skipped_errors=0
	# of training samples: 384000

[epoch 1][601/6000] loss: 0.5943 PSNR_train: 0.0000
[epoch 1][611/6000] loss: 0.4884 PSNR_train: 0.0000
[epoch 1][621/6000] loss: 0.4355 PSNR_train: 0.0000
[epoch 1][631/6000] loss: 0.4745 PSNR_train: 0.0000
[epoch 1][641/6000] loss: 0.4179 PSNR_train: 0.0000
[epoch 1][651/6000] loss: 0.4475 PSNR_train: 0.0000
[epoch 1][661/6000] loss: 0.4197 PSNR_train: 0.0000
[epoch 1][671/6000] loss: 0.4541 PSNR_train: 0.0000
[epoch 1][681/6000] loss: 0.3878 PSNR_train: 0.0000
[epoch 1][691/6000] loss: 0.4494 PSNR_train: 0.0000
[epoch 1][701/6000] loss: 0.4397 PSNR_train: 0.0000
[epoch 1][711/6000] loss: 0.4075 PSNR_train: 0.0000
[epoch 1][721/6000] loss: 0.8980 PSNR_train: 0.0000
[epoch 1][731/6000] loss: 1.2015 PSNR_train: 0.0000
[epoch 1][741/6000] loss: 3.4880 PSNR_train: 0.0000
[epoch 1][751/6000] loss: 1.3549 PSNR_train: 0.0000
[epoch 1][761/6000] loss: 11.2454 PSNR_train: 0.0000
[epoch 1][771/6000] loss: 2.3655 PSNR_train: 0.0000
[epoch 1][781/6000] loss: 1.8783 PSNR_train: 0.0000
[epoch 1][791/6000] loss: 1.6504 PSNR_train: 0.0000
[epoch 1][801/6000] loss: 0.9025 PSNR_train: 0.0000
[epoch 1][811/6000] loss: 0.7872 PSNR_train: 0.0000
[epoch 1][821/6000] loss: 0.6790 PSNR_train: 0.0000
[epoch 1][831/6000] loss: 0.4202 PSNR_train: 0.0000
[epoch 1][841/6000] loss: 0.3565 PSNR_train: 0.0000
[epoch 1][851/6000] loss: 0.2965 PSNR_train: 0.0000
[epoch 1][861/6000] loss: 0.2809 PSNR_train: 0.0000
[epoch 1][871/6000] loss: 0.2893 PSNR_train: 0.0000
[epoch 1][881/6000] loss: 0.2422 PSNR_train: 0.0000
[epoch 1][891/6000] loss: 0.3489 PSNR_train: 0.0000
[epoch 1][901/6000] loss: 0.5615 PSNR_train: 0.0000
[epoch 1][911/6000] loss: 0.7800 PSNR_train: 0.0000
[epoch 1][921/6000] loss: 8.2897 PSNR_train: 0.0000
[epoch 1][931/6000] loss: 5.6804 PSNR_train: 0.0000
[epoch 1][941/6000] loss: 13.2681 PSNR_train: 0.0000
[epoch 1][951/6000] loss: 2.4242 PSNR_train: 0.0000
[epoch 1][961/6000] loss: 1.6932 PSNR_train: 0.0000
[epoch 1][971/6000] loss: 0.5903 PSNR_train: 0.0000
[epoch 1][981/6000] loss: 0.3352 PSNR_train: 0.0000
[epoch 1][991/6000] loss: 0.6468 PSNR_train: 0.0000
[epoch 1][1001/6000] loss: 0.3521 PSNR_train: 0.0000
[epoch 1][1011/6000] loss: 0.4247 PSNR_train: 0.0000
[epoch 1][1021/6000] loss: 0.3131 PSNR_train: 0.0000
[epoch 1][1031/6000] loss: 0.2844 PSNR_train: 0.0000
[epoch 1][1041/6000] loss: 0.2211 PSNR_train: 0.0000
[epoch 1][1051/6000] loss: 0.2629 PSNR_train: 0.0000
[epoch 1][1061/6000] loss: 0.2633 PSNR_train: 0.0000
[epoch 1][1071/6000] loss: 0.8350 PSNR_train: 0.0000
[epoch 1][1081/6000] loss: 1.3656 PSNR_train: 0.0000
[epoch 1][1091/6000] loss: 2.3596 PSNR_train: 0.0000
[epoch 1][1101/6000] loss: 2.7139 PSNR_train: 0.0000
[epoch 1][1111/6000] loss: 1.8263 PSNR_train: 0.0000
[epoch 1][1121/6000] loss: 5.5131 PSNR_train: 0.0000
[epoch 1][1131/6000] loss: 1.5714 PSNR_train: 0.0000
[epoch 1][1141/6000] loss: 1.5212 PSNR_train: 0.0000
[epoch 1][1151/6000] loss: 1.4340 PSNR_train: 0.0000
[epoch 1][1161/6000] loss: 0.9398 PSNR_train: 0.0000
[epoch 1][1171/6000] loss: 1.0203 PSNR_train: 0.0000
[epoch 1][1181/6000] loss: 1.5401 PSNR_train: 0.0000
[epoch 1][1191/6000] loss: 1.4638 PSNR_train: 0.0000
[epoch 1][1201/6000] loss: 0.5368 PSNR_train: 0.0000
[epoch 1][1211/6000] loss: 0.6181 PSNR_train: 0.0000
[epoch 1][1221/6000] loss: 0.2413 PSNR_train: 0.0000
[epoch 1][1231/6000] loss: 0.3283 PSNR_train: 0.0000
[epoch 1][1241/6000] loss: 0.2572 PSNR_train: 0.0000
[epoch 1][1251/6000] loss: 0.3127 PSNR_train: 0.0000
[epoch 1][1261/6000] loss: 0.2639 PSNR_train: 0.0000
[epoch 1][1271/6000] loss: 0.2869 PSNR_train: 0.0000
[epoch 1][1281/6000] loss: 0.2721 PSNR_train: 0.0000
[epoch 1][1291/6000] loss: 1.6138 PSNR_train: 0.0000
[epoch 1][1301/6000] loss: 2.6478 PSNR_train: 0.0000
[epoch 1][1311/6000] loss: 8.2577 PSNR_train: 0.0000
[epoch 1][1321/6000] loss: 5.4482 PSNR_train: 0.0000
[epoch 1][1331/6000] loss: 2.6752 PSNR_train: 0.0000
[epoch 1][1341/6000] loss: 0.8735 PSNR_train: 0.0000
[epoch 1][1351/6000] loss: 0.3642 PSNR_train: 0.0000
[epoch 1][1361/6000] loss: 0.8147 PSNR_train: 0.0000
[epoch 1][1371/6000] loss: 0.8917 PSNR_train: 0.0000
[epoch 1][1381/6000] loss: 4.6527 PSNR_train: 0.0000
[epoch 1][1391/6000] loss: 2.0537 PSNR_train: 0.0000
[epoch 1][1401/6000] loss: 1.7085 PSNR_train: 0.0000
[epoch 1][1411/6000] loss: 1.9874 PSNR_train: 0.0000
[epoch 1][1421/6000] loss: 1.6869 PSNR_train: 0.0000
[epoch 1][1431/6000] loss: 1.3189 PSNR_train: 0.0000
[epoch 1][1441/6000] loss: 0.7168 PSNR_train: 0.0000
[epoch 1][1451/6000] loss: 0.7937 PSNR_train: 0.0000
[epoch 1][1461/6000] loss: 0.6368 PSNR_train: 0.0000
[epoch 1][1471/6000] loss: 0.8536 PSNR_train: 0.0000
[epoch 1][1481/6000] loss: 1.8606 PSNR_train: 0.0000
[epoch 1][1491/6000] loss: 3.4003 PSNR_train: 0.0000
[epoch 1][1501/6000] loss: 4.2778 PSNR_train: 0.0000
[epoch 1][1511/6000] loss: 0.6103 PSNR_train: 0.0000
[epoch 1][1521/6000] loss: 3.1603 PSNR_train: 0.0000
[epoch 1][1531/6000] loss: 1.9291 PSNR_train: 0.0000
[epoch 1][1541/6000] loss: 1.2033 PSNR_train: 0.0000
[epoch 1][1551/6000] loss: 0.9214 PSNR_train: 0.0000
[epoch 1][1561/6000] loss: 0.7779 PSNR_train: 0.0000
[epoch 1][1571/6000] loss: 0.5645 PSNR_train: 0.0000
[epoch 1][1581/6000] loss: 0.6262 PSNR_train: 0.0000
[epoch 1][1591/6000] loss: 0.4618 PSNR_train: 0.0000
[epoch 1][1601/6000] loss: 0.2952 PSNR_train: 0.0000
[epoch 1][1611/6000] loss: 0.4532 PSNR_train: 0.0000
[epoch 1][1621/6000] loss: 0.8601 PSNR_train: 0.0000
[epoch 1][1631/6000] loss: 1.4007 PSNR_train: 0.0000
[epoch 1][1641/6000] loss: 3.1927 PSNR_train: 0.0000
[epoch 1][1651/6000] loss: 2.7527 PSNR_train: 0.0000
[epoch 1][1661/6000] loss: 3.8357 PSNR_train: 0.0000
